"PC1" "PC2" "PC3" "Population" "Superpopulation"
"HG00290" -47.3937112846518 78.9395602330879 20.1488573590064 "FIN" "EUR"
"HG00304" -45.432779395594 82.3168580469243 23.5314159418062 "FIN" "EUR"
"HG00306" -45.4346204772458 86.0256315621609 19.9856522216134 "FIN" "EUR"
"HG00308" -44.0153866808298 78.5060784862927 24.2752750737949 "FIN" "EUR"
"HG00309" -45.1659162286042 79.724063246644 24.3262102321404 "FIN" "EUR"
"HG00310" -44.5608571356028 85.155380380092 21.9018323134653 "FIN" "EUR"
"HG00311" -44.3529863826294 87.3821411799846 24.0003824797565 "FIN" "EUR"
"HG00313" -45.6930387577229 79.6707397301532 24.4021912265618 "FIN" "EUR"
"HG00315" -47.3103103556164 81.6796298927025 24.5468163948254 "FIN" "EUR"
"HG00318" -45.0658473835784 84.2035363958286 21.7124983359607 "FIN" "EUR"
"HG00319" -45.268877977137 80.9966548263529 20.7581598669767 "FIN" "EUR"
"HG00320" -44.9284646885692 82.2833005642279 22.539258847877 "FIN" "EUR"
"HG00321" -46.882049969406 81.1104785182183 23.6512929573352 "FIN" "EUR"
"HG00323" -46.1564089427994 79.0181434895826 21.1459846737032 "FIN" "EUR"
"HG00324" -45.3255613409993 80.8813695168793 24.8739773204651 "FIN" "EUR"
"HG00325" -47.3801126166545 77.6655024591375 23.3108493606622 "FIN" "EUR"
"HG00326" -44.7526747012607 81.529923017037 22.2605256729364 "FIN" "EUR"
"HG00327" -45.8353377088906 81.399891079549 22.1867573642341 "FIN" "EUR"
"HG00328" -47.0748338403781 83.4496279702201 23.7748808968095 "FIN" "EUR"
"HG00329" -43.1567731949695 84.6036375575794 22.5921755831441 "FIN" "EUR"
"HG00330" -45.4369722531973 80.620121438971 23.1210617081796 "FIN" "EUR"
"HG00331" -44.9976227044442 82.8448967042679 23.8137594089579 "FIN" "EUR"
"HG00332" -43.8032370836722 80.5817247806177 22.08472066073 "FIN" "EUR"
"HG00334" -44.9347011394596 87.41806815348 22.7527885156347 "FIN" "EUR"
"HG00335" -44.4487510223211 83.0482773116838 23.8255744610506 "FIN" "EUR"
"HG00336" -46.9456681039503 80.4757620979335 19.9526404939309 "FIN" "EUR"
"HG00337" -44.3926162595231 84.4056220127727 23.7350011598037 "FIN" "EUR"
"HG00338" -43.8545374796402 83.089843996857 22.6234147095655 "FIN" "EUR"
"HG00339" -45.1977123905263 79.5895315732529 20.3116450201048 "FIN" "EUR"
"HG00341" -42.4443015256862 83.8763302530216 20.2604231421897 "FIN" "EUR"
"HG00342" -46.5018520043626 80.3965917111032 22.3938961942508 "FIN" "EUR"
"HG00343" -44.6565532459772 81.7350785002566 23.4148801302485 "FIN" "EUR"
"HG00344" -42.7433762590243 88.5609798525069 22.5321542198814 "FIN" "EUR"
"HG00345" -44.8984160225097 81.2916368573046 23.3754367329643 "FIN" "EUR"
"HG00346" -44.6082500573809 84.1995706340836 22.936896897501 "FIN" "EUR"
"HG00349" -46.0794826370949 80.6564436201324 22.0263090869083 "FIN" "EUR"
"HG00350" -40.8872722683654 88.0314799143198 21.6986628589534 "FIN" "EUR"
"HG00351" -44.3748740974502 83.4882402837836 22.7992803797093 "FIN" "EUR"
"HG00353" -48.9390145406585 81.6303386952859 23.2601432745451 "FIN" "EUR"
"HG00355" -46.3843016258479 84.5667807596117 22.8624254991278 "FIN" "EUR"
"HG00356" -44.6397391102237 83.8509437338044 24.129309926261 "FIN" "EUR"
"HG00357" -44.6877129713706 83.708234496312 23.1014862090921 "FIN" "EUR"
"HG00358" -46.1657495531798 78.6308925172259 25.5455548473198 "FIN" "EUR"
"HG00360" -44.2389775817627 85.6656566076959 21.4145071428043 "FIN" "EUR"
"HG00361" -46.0522193419696 79.9126082812617 21.4500072244004 "FIN" "EUR"
"HG00362" -46.2155515130143 81.3827514909848 20.7219922600959 "FIN" "EUR"
"HG00364" -43.8364926312786 81.155423090503 22.0704271631388 "FIN" "EUR"
"HG00365" -45.1974282586188 82.1357178667264 22.4797597706479 "FIN" "EUR"
"HG00366" -46.1280286889799 81.959278797338 20.6029611466352 "FIN" "EUR"
"HG00367" -47.1032825856336 81.3924927903698 23.6881556787532 "FIN" "EUR"
"HG00368" -47.6464157054461 80.4451028583699 24.2397036803505 "FIN" "EUR"
"HG00369" -46.1994050670623 81.7374040169674 24.043967016856 "FIN" "EUR"
"HG00371" -44.1021112757219 82.9122341961132 20.8016704033709 "FIN" "EUR"
"HG00372" -46.978270089742 84.0196021315431 22.7916044819725 "FIN" "EUR"
"HG00373" -45.6597215797351 77.9183619406518 23.4566102421122 "FIN" "EUR"
"HG00375" -45.8902653103176 83.7987199748099 22.1832668940193 "FIN" "EUR"
"HG00376" -46.0430975645838 85.4185340239693 21.6389970977295 "FIN" "EUR"
"HG00378" -44.6353376862894 81.9868935367025 23.1536916580474 "FIN" "EUR"
"HG00379" -45.1539382151341 83.3769840409631 19.7231629339365 "FIN" "EUR"
"HG00380" -43.6211931721716 87.8061998939066 21.790352826021 "FIN" "EUR"
"HG00381" -45.9946783570817 82.4476854568137 22.3714146748755 "FIN" "EUR"
"HG00382" -45.0584411801675 80.5201192268471 23.1832972379157 "FIN" "EUR"
"HG00383" -45.1830721550276 81.903295917879 23.1971365289159 "FIN" "EUR"
"HG00384" -46.4287905444883 83.5091256073718 21.3768494459332 "FIN" "EUR"
"HG00403" -90.170395739385 -112.94018336141 9.95174465920564 "CHS" "EAS"
"HG00404" -92.7209785904425 -113.581068213989 10.8339937333115 "CHS" "EAS"
"HG00406" -92.4802483232548 -114.604711263036 7.899814901212 "CHS" "EAS"
"HG00407" -91.5641770864004 -114.017596540931 7.19737942789199 "CHS" "EAS"
"HG00409" -92.5832028659144 -113.478412461896 11.1274881829092 "CHS" "EAS"
"HG00410" -91.9853414059365 -112.428085153862 8.12039185668879 "CHS" "EAS"
"HG00419" -92.7622323374171 -113.617524203443 10.5938683844855 "CHS" "EAS"
"HG00421" -91.3189357424309 -115.1102179516 6.77217071184748 "CHS" "EAS"
"HG00422" -92.3500239099457 -112.777478472158 8.47427696897885 "CHS" "EAS"
"HG00428" -94.3440129495929 -113.691458950589 9.75149728363865 "CHS" "EAS"
"HG00436" -92.161600398961 -116.010961295089 9.29210586383353 "CHS" "EAS"
"HG00437" -92.0188086501515 -114.052626130728 8.63327173309785 "CHS" "EAS"
"HG00442" -92.2581164895442 -115.61156694024 9.17518628217498 "CHS" "EAS"
"HG00443" -91.2857658043502 -111.719940312362 8.27669089490953 "CHS" "EAS"
"HG00445" -92.7962796882663 -111.089300627381 8.83542058907257 "CHS" "EAS"
"HG00446" -92.8079554227862 -113.885860532853 7.77907554615065 "CHS" "EAS"
"HG00448" -92.0862133377213 -112.710913672679 7.57629104163072 "CHS" "EAS"
"HG00449" -92.16369502644 -114.310549035806 8.37246033947466 "CHS" "EAS"
"HG00451" -90.6188776455901 -115.068493881469 9.22413527421127 "CHS" "EAS"
"HG00452" -91.2027285320547 -112.694812918123 9.39254811591565 "CHS" "EAS"
"HG00457" -91.6415374417264 -113.194411433314 8.39899302827714 "CHS" "EAS"
"HG00458" -91.2995005739606 -111.942886600946 8.42459260266753 "CHS" "EAS"
"HG00463" -92.8787321618989 -113.627943263808 9.23260063149877 "CHS" "EAS"
"HG00464" -92.5109443992712 -114.310051104045 8.68042829760978 "CHS" "EAS"
"HG00472" -92.6230741511828 -113.836448832085 7.5198278599252 "CHS" "EAS"
